epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4720.52,1.27902,3.57845,1.33972,0.60145,0.13829,0.10769,0.07123,1.2771,2.47586,1.24357,0.000127977,0.000127977,0.000127977
2,4843.18,1.21902,2.65946,1.29093,0.56989,0.18198,0.17276,0.11749,1.26248,2.18276,1.24001,0.000251235,0.000251235,0.000251235
3,4962.62,1.20141,2.32841,1.27585,0.44,0.3161,0.2203,0.13313,1.33459,2.19402,1.29614,0.000369412,0.000369412,0.000369412
4,5081.56,1.17552,2.03038,1.24853,0.42951,0.30845,0.25528,0.16521,1.27696,2.07195,1.24797,0.000362131,0.000362131,0.000362131
5,5199.38,1.13604,1.80294,1.22733,0.44563,0.39156,0.33291,0.21699,1.23989,1.89754,1.22078,0.000354508,0.000354508,0.000354508
6,5321.09,1.11513,1.64681,1.21349,0.47523,0.39779,0.37534,0.24134,1.25741,1.88681,1.23355,0.000346885,0.000346885,0.000346885
7,5438.75,1.08278,1.51167,1.19005,0.53381,0.33744,0.37136,0.2464,1.22839,1.77366,1.22107,0.000339262,0.000339262,0.000339262
8,5557.83,1.06227,1.37501,1.18532,0.54838,0.39501,0.41747,0.2773,1.2046,1.63384,1.20775,0.000331639,0.000331639,0.000331639
9,5677.99,1.04128,1.30893,1.16785,0.50241,0.42987,0.45872,0.30743,1.19582,1.58297,1.20096,0.000324016,0.000324016,0.000324016
10,5799.34,1.0301,1.23536,1.16196,0.63638,0.48666,0.50124,0.34873,1.19621,1.49357,1.20264,0.000316393,0.000316393,0.000316393
11,5918.05,1.01508,1.1929,1.14907,0.69152,0.47734,0.52479,0.35859,1.1693,1.49758,1.16808,0.00030877,0.00030877,0.00030877
12,6037.87,1.00958,1.14475,1.14686,0.66992,0.50442,0.5442,0.36912,1.18139,1.40493,1.18386,0.000301147,0.000301147,0.000301147
13,6155.76,0.99012,1.09914,1.13316,0.7243,0.48991,0.53411,0.36676,1.17523,1.4417,1.1777,0.000293524,0.000293524,0.000293524
14,6274.73,0.97728,1.03894,1.12877,0.75314,0.47985,0.57761,0.39247,1.15737,1.37451,1.1762,0.000285901,0.000285901,0.000285901
15,6393.23,0.96742,1.01264,1.11753,0.67432,0.5285,0.57929,0.38677,1.11863,1.33161,1.14085,0.000278278,0.000278278,0.000278278
16,6510.56,0.95493,0.98148,1.11609,0.69545,0.48992,0.5665,0.38065,1.15747,1.34813,1.17893,0.000270655,0.000270655,0.000270655
17,6629.62,0.94431,0.96799,1.10706,0.71434,0.53425,0.59543,0.3906,1.1348,1.3097,1.17061,0.000263032,0.000263032,0.000263032
18,6747.56,0.92868,0.91621,1.09701,0.69849,0.535,0.59548,0.40896,1.13034,1.33061,1.14687,0.000255409,0.000255409,0.000255409
19,6868.13,0.92347,0.91032,1.09257,0.67481,0.55698,0.6026,0.41827,1.11427,1.33261,1.14437,0.000247786,0.000247786,0.000247786
20,6985.74,0.92492,0.89532,1.09634,0.73822,0.51531,0.60498,0.42701,1.10323,1.25743,1.14077,0.000240163,0.000240163,0.000240163
21,7105,0.91134,0.8708,1.08587,0.69096,0.56301,0.5992,0.41285,1.10412,1.28406,1.13713,0.00023254,0.00023254,0.00023254
22,7222.56,0.90171,0.85731,1.08679,0.7507,0.51702,0.59517,0.41215,1.09744,1.25179,1.13961,0.000224917,0.000224917,0.000224917
23,7340.42,0.88885,0.82672,1.07496,0.74395,0.51972,0.61706,0.43,1.10111,1.22631,1.14055,0.000217294,0.000217294,0.000217294
24,7460.24,0.89143,0.81875,1.07297,0.72358,0.54294,0.6192,0.44035,1.07986,1.22152,1.12506,0.000209671,0.000209671,0.000209671
25,7579.84,0.87351,0.78987,1.06207,0.75757,0.52584,0.6271,0.44475,1.07083,1.2219,1.1191,0.000202048,0.000202048,0.000202048
26,7701.65,0.87059,0.78074,1.06428,0.77848,0.54284,0.62633,0.44519,1.08069,1.21159,1.12771,0.000194425,0.000194425,0.000194425
27,7820.15,0.85836,0.77493,1.06099,0.64544,0.5746,0.60517,0.43421,1.05777,1.18979,1.12004,0.000186802,0.000186802,0.000186802
28,7940.06,0.86952,0.76541,1.06686,0.68327,0.54405,0.58673,0.41582,1.08976,1.21516,1.12928,0.000179179,0.000179179,0.000179179
